id,Date Created,Date Completed,Last Modified,node,slot,ssu,rack,ru_low,ru_high
85,3/30/2021 2:52 AM,,4/8/2021 2:01 AM,184,82,90,16,11,15
86,3/30/2021 2:00 AM,,4/7/2021 2:01 AM,184,82,90,16,11,15
87,3/29/2021 8:04 AM,4/28/2021 11:45 AM,4/28/2021 11:45 AM,184,82,90,16,11,15
89,3/25/2021 2:48 AM,4/28/2021 11:21 AM,4/28/2021 11:21 AM,158,21,77,14,26,30
90,3/22/2021 10:26 AM,7/29/2021 11:32 AM,7/29/2021 11:32 AM,78,24,37,5,26,30
91,3/18/2021 8:30 PM,4/28/2021 11:21 AM,4/28/2021 11:21 AM,105,4,50,7,11,15
93,3/17/2021 4:59 PM,6/21/2021 10:12 AM,6/21/2021 10:12 AM,79,24,37,5,26,30
103,2/21/2021 9:33 PM,4/8/2021 1:15 PM,4/16/2021 2:03 AM,-1,-1,-1,-1,-1,-1
111,1/23/2021 1:09 PM,4/28/2021 11:09 AM,4/28/2021 11:09 AM,15,24,5,1,26,30
112,1/22/2021 2:47 AM,2/1/2021 3:46 PM,2/9/2021 2:01 AM,-1,-1,-1,-1,-1,-1
116,1/1/2021 1:02 PM,6/8/2021 1:56 PM,6/8/2021 1:56 PM,209,49,102,17,31,35
117,12/29/2020 5:08 PM,6/11/2021 10:47 AM,6/11/2021 10:47 AM,182,14,89,16,6,10
118,12/26/2020 1:55 AM,,1/26/2022 12:18 PM,-1,-1,-1,-1,-1,-1
119,12/23/2020 11:40 AM,,1/26/2022 12:21 PM,-1,-1,-1,-1,-1,-1
120,12/23/2020 12:10 AM,6/10/2021 11:11 AM,6/10/2021 11:11 AM,-1,-1,-1,-1,-1,-1
121,12/22/2020 11:54 PM,12/23/2020 1:38 PM,6/11/2021 1:15 PM,-1,-1,-1,-1,-1,-1
122,12/21/2020 5:31 PM,1/5/2021 6:34 AM,1/15/2021 2:01 AM,221,36,108,18,21,25
123,12/21/2020 5:30 PM,1/5/2021 6:32 AM,1/15/2021 2:01 AM,154,56,75,14,16,20
124,12/21/2020 5:30 PM,12/30/2020 10:13 AM,4/16/2021 2:01 AM,71,30,33,5,6,10
125,12/21/2020 9:21 AM,12/31/2020 11:11 AM,4/16/2021 2:01 AM,151,27,73,14,6,10
126,12/21/2020 9:19 AM,1/5/2021 11:31 AM,1/15/2021 2:01 AM,119,29,57,8,6,10
127,12/18/2020 8:44 PM,12/30/2020 11:03 AM,1/15/2021 2:01 AM,178,7,87,15,36,40
128,12/18/2020 8:43 PM,12/31/2020 11:12 AM,4/16/2021 2:01 AM,97,24,46,6,31,35
136,12/4/2020 1:27 PM,8/12/2021 11:30 AM,8/20/2021 2:01 AM,-1,-1,-1,-1,-1,-1
138,11/30/2020 4:44 AM,,12/21/2021 6:13 AM,168,33,82,15,11,15
139,11/28/2020 3:15 AM,6/3/2021 11:18 AM,6/3/2021 11:18 AM,101,39,48,7,1,5
140,11/26/2020 4:41 AM,12/22/2020 10:42 AM,12/22/2020 10:42 AM,93,75,44,6,21,25
148,11/13/2020 10:53 PM,11/19/2020 10:47 AM,12/1/2020 2:01 AM,219,12,107,18,16,20
149,11/7/2020 2:20 AM,11/16/2020 9:39 AM,11/26/2020 2:01 AM,248,72,122,20,11,15
154,10/27/2020 3:36 AM,11/12/2020 11:41 AM,11/12/2020 11:41 AM,54,10,25,4,6,10
157,10/22/2020 2:48 PM,11/12/2020 11:14 AM,11/25/2020 2:01 AM,133,6,64,13,1,5
158,10/22/2020 1:42 PM,6/3/2021 11:14 AM,6/21/2021 12:12 PM,133,6,64,13,1,5
159,10/21/2020 3:47 PM,11/12/2020 10:50 AM,11/12/2020 10:50 AM,30,55,13,2,26,30
162,10/21/2020 5:40 AM,3/30/2021 1:18 PM,3/30/2021 1:18 PM,-1,-1,-1,-1,-1,-1
168,10/7/2020 4:04 AM,11/12/2020 4:28 PM,11/25/2020 2:01 AM,0,1,-1,-1,-1,-1
173,10/2/2020 5:02 PM,11/25/2020 10:02 AM,11/25/2020 10:02 AM,47,15,21,3,26,30
177,10/1/2020 10:02 AM,10/23/2020 4:17 PM,10/23/2020 4:18 PM,169,29,82,15,11,15
179,9/28/2020 10:55 AM,10/23/2020 4:14 PM,12/18/2020 2:01 AM,207,30,101,17,26,30
180,9/28/2020 10:55 AM,10/26/2020 9:53 AM,12/18/2020 2:01 AM,205,31,100,17,21,25
181,9/28/2020 10:54 AM,10/23/2020 4:09 PM,12/18/2020 2:01 AM,202,40,99,17,16,20
182,9/28/2020 10:51 AM,10/23/2020 4:11 PM,12/18/2020 2:01 AM,184,79,90,16,11,15
